ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BÁSICA - FEMALE;GAM83_BÁSICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;GKF-95;GKM-70;GKM-80;GKM-95;GR-95 MALE;GR-95FEMALE;GRUPAL AMERICANA;HUNTER SEMITROPICAL;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos;Prudential-50;Rentiers Français;RP-2000 FEMALE;RP-2000MALE;SGB-51;SGB-71;SGB-75;UP-84 F;UP-84 M;UP84_MAS_&_FEM;UP-94 FEMALE;UP-94 MALE;USTP-61;X-17;BENTZIEN;Experiência CAP;GRUPAL AMERICANA;IAPC;IBA (FERROVIARIOS);MULLER;RP-2000 DISABLED FEMALE;RP-2000 DISABLED MALE;RRB-44;TASA/1927;WINKLEVOSS;ZIMMERMANN;ZIMMERMANN (FERR. ALEMAES);ALVARO VINDAS;GRUPO AMERICANA;HUNTER'S;IAPB-57 Forte;IAPB-57 FRACA;IBA (FERROVIARIOS);LIGHT FORTE;LIGHT MEDIA;MULLER;PRUDENTIAL (FERR. APOSENT.);RGPS-99/02 M.M;RRB-1944 Mod - Fem;RRB-1944 Mod - Masc;TASA-1927;WYATT 1985 ;ZIMMERMANN EMPR. ESCRIT;Atuários Ingleses;Hubbard Laffitte;J.P. Jansen;Kinkelin;Moser;Samuel Dumas
1.3;0.00749;0.000126;0.00035;0.00014;0.00039;0.000191;0.000483;0.000483;0.00042;0.00039;0.000156;0.000141;0.000424;0.000382;0.00014;0.00018;0.00012;0.00013;0.0000675;0.0001141;0.0000565;0.0000673;0.000179138;0.000209156;0.000145443;0.000173168;0.00142;0.00197;0.00121;0.001115;0.00111;0.00122;0.00121;0.00029;0.00036;0.00073;0;0.000132;0.00039;0.000096;0.000107;0.000325;0.000293;0.000131;0.000197;0;0;0;0;0;0;0;0;0.000275207;0.000262363;0.000248437;0.000243717;0;0.00364;0.000141;0.000212;0;0.001295;0;0;0;0;0.000141;0.000212;0;0;0;0;0.332;0;0;0;0;0;0;0;0;0;0;0;0;0.00525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.00752;0.000133;0.000371;0.000148;0.000413;0.000208;0.000492;0.000492;0.00043;0.0004;0.000163;0.000147;0.000438;0.000394;0.00018;0.00021;0.00015;0.00015;0.000073;0.0001277;0.000061;0.0000738;0.000197967;0.000232563;0.000168484;0.000186204;0.00145;0.00191;0.00123;0.0011301;0.00112;0.001245;0.00123;0.00029;0.00037;0.00077;0;0.000143;0.000397;0.000104;0.000116;0.000331;0.000298;0.000138;0.000208;0;0;0;0;0;0;0;0;0.000283473;0.000270168;0.000264657;0.000256377;0;0.00366;0.000143;0.000219;0;0.001295;0;0;0;0;0.000148;0.000223;0;0;0;0;0.319;0;0;0;0;0;0;0;0;0;0;0;0;0.00512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.00754;0.000142;0.000388;0.000158;0.000431;0.000225;0.000502;0.000502;0.000441;0.00041;0.000172;0.000155;0.00045;0.000405;0.00022;0.00026;0.00018;0.00019;0.0000791;0.0001509;0.0000664;0.0000831;0.000224059;0.000269966;0.000194344;0.0002097;0.00148;0.00192;0.00126;0.0011549;0.00114;0.00129;0.00126;0.0003;0.00039;0.00085;0;0.000155;0.000405;0.000113;0.000126;0.000338;0.000304;0.000148;0.000226;0;0;0;0;0;0;0;0;0.000314237;0.000306527;0.000306857;0.000292001;0;0.00387;0.000148;0.000228;0;0.001295;0;0;0;0;0.000159;0.000243;0;0;0;0;0.306;0;0;0;0;0;0;0;0;0;0;0;0;0.005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.00757;0.000152;0.000402;0.00017;0.000446;0.000242;0.000512;0.000512;0.000452;0.00041;0.000183;0.000165;0.000461;0.000415;0.00026;0.00033;0.00022;0.00024;0.0000862;0.0001911;0.0000731;0.0000971;0.000255538;0.000323633;0.000220953;0.000248676;0.00155;0.00198;0.00132;0.00119;0.00117;0.001355;0.00132;0.00032;0.00044;0.00099;0;0.000167;0.000413;0.000122;0.000135;0.000344;0.00031;0.000164;0.000255;0;0;0;0;0;0;0;0;0.00042993;0.000415831;0.000386896;0.000350269;0;0.00422;0.000155;0.00024;0;0.001295;0;0;0;0;0.000177;0.000275;0;0;0;0;0.293;0;0;0;0;0;0;0;0;0;0;0;0;0.00489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.0076;0.000164;0.000414;0.000183;0.000458;0.00026;0.000524;0.000524;0.000463;0.00042;0.000195;0.000175;0.000472;0.000425;0.0003;0.00042;0.00025;0.00031;0.000095;0.0002557;0.0000825;0.0001182;0.000289817;0.000393528;0.000246534;0.000305771;0.00163;0.00207;0.00139;0.001235;0.00121;0.001425;0.00139;0.00035;0.0005;0.00115;0.000871;0.00018;0.000422;0.000131;0.000146;0.000352;0.000317;0.000189;0.000297;0;0;0;0;0;0;0;0;0.000557387;0.000538323;0.000524326;0.000488779;0;0.00466;0.000162;0.000254;0.002599;0.001295;0.001374;0;0;0;0.000203;0.00032;0.00059;0.00087;0;0.179685622;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0.00479;0;0.00104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;1
1.3;0.00763;0.000177;0.000425;0.000197;0.00047;0.000278;0.000537;0.000537;0.000475;0.00043;0.000209;0.000188;0.000483;0.000435;0.00033;0.00053;0.00027;0.00039;0.000108;0.0003486;0.0000968;0.0001487;0.000323807;0.00047635;0.000269445;0.000379317;0.00172;0.00215;0.00146;0.00129;0.00126;0.0015;0.00146;0.00039;0.00056;0.00133;0.001006;0.000193;0.000433;0.00014;0.000156;0.000361;0.000325;0.000216;0.000345;0.0002959;0.001195;0.001079;0.001579;0.001288;0.000318;0.00229;0;0.000780701;0.000765056;0.000743405;0.000718515;0.000531;0.00515;0.00017;0.000269;0.002636;0.001488;0.001407;0.001489;0.001414;0.001453;0.000233;0.000371;0.00071;0.001;0;0.174566269;0.267;0.1107;0.1223;0;0;0;0;0.00005;0;0;0;0.000575;0.00031;0.0047;0.2762;0.00104;0.0071;0.00013;0.00007;0;0;0;0;0;0.00036;0.00022;0;0;0;0;0;1.3;1
1.3;0.00766;0.00019;0.000437;0.000212;0.000481;0.000296;0.000551;0.000551;0.000488;0.00044;0.000224;0.000201;0.000495;0.000446;0.00035;0.00065;0.00029;0.00048;0.0001299;0.0004682;0.000122;0.0001909;0.000354625;0.00056781;0.000288774;0.000464805;0.00181;0.00219;0.00154;0.001355;0.00132;0.00158;0.00154;0.00044;0.00063;0.00151;0.00115;0.000205;0.000444;0.000149;0.000166;0.00037;0.000333;0.000242;0.000391;0.0003317;0.00121;0.0010912;0.001595;0.001289;0.00032;0.0023;0;0.000962807;0.000936044;0.00091697;0.000890779;0.000544;0.00565;0.000177;0.000284;0.002677;0.001694;0.001444;0.001479;0.001385;0.001437;0.000261;0.000421;0.00082;0.00113;0;0.169577509;0.254;0.1083;0.1182;0;0;0;0.026;0.00005;0;0;0.1182;0.000573;0.00032;0.00462;0.2231;0.00105;0.0062;0.00016;0.00009;0;0;0;0.0018;0.0012;0.00037;0.00024;0;6.566;4;0;6.32;1.3;1
1.3;0.00769;0.000204;0.000449;0.000228;0.000495;0.000315;0.000567;0.000567;0.000502;0.00046;0.000239;0.000214;0.000508;0.000458;0.00037;0.00078;0.0003;0.00057;0.0001653;0.0006352;0.0001428;0.0002796;0.000380407;0.00066154;0.000304135;0.000557002;0.0019;0.00225;0.00162;0.001425;0.00139;0.0016549;0.00162;0.0005;0.0007;0.00167;0.001268;0.000218;0.000457;0.000159;0.000177;0.000381;0.000343;0.000262;0.00043;0.0003427;0.001225;0.0011034;0.001601;0.00129;0.000322;0.0023;0;0.001132845;0.001102068;0.001079759;0.001051224;0.000559;0.0061;0.000184;0.000301;0.002722;0.001859;0.001485;0.001467;0.001351;0.001414;0.000281;0.000463;0.00093;0.00125;0;0.164717794;0.241;0.106;0.1141;0;0;0;0.026;0.00005;0;0;0.1141;0.000572;0.00033;0.00455;0.1825;0.00111;0.0067;0.0002;0.00011;0;0;0;0.0018;0.0012;0.00038;0.00025;0;6.44;4.065;0;6.16;1.3;1
1.3;0.00773;0.000219;0.000463;0.000244;0.00051;0.000334;0.000584;0.000584;0.000517;0.00047;0.000255;0.000229;0.000523;0.000472;0.00037;0.0009;0.00031;0.00066;0.0002244;0.0008963;0.0001708;0.000374;0.000400263;0.000751594;0.000315608;0.000646159;0.00199;0.0023;0.00169;0.0015;0.00146;0.001715;0.00169;0.00056;0.00076;0.00178;0.001314;0.000231;0.000471;0.000168;0.000187;0.000392;0.000353;0.000273;0.00046;0.0003392;0.00124;0.0011156;0.001595;0.001291;0.000324;0.00231;0;0.001278437;0.001244064;0.001220256;0.001187916;0.000576;0.00648;0.000188;0.000316;0.002771;0.001918;0.001529;0.001453;0.001311;0.001385;0.000293;0.000495;0.00102;0.00134;0;0.159985586;0.229;0.1037;0.11;0;0;0;0.026;0.00005;0;0;0.11;0.00057;0.00035;0.00448;0.1467;0.00116;0.0065;0.00025;0.00013;0;0;0;0.0018;0.0012;0.0004;0.00026;0;6.216;4.14;0;6.02;1.3;1
1.3;0.00777;0.000234;0.00048;0.00026;0.000528;0.000354;0.000603;0.000603;0.000534;0.00049;0.000271;0.000244;0.00054;0.000488;0.00037;0.00101;0.0003;0.00074;0.0002806;0.0010702;0.0002035;0.0004909;0.000414175;0.000832887;0.000323459;0.000726551;0.00203;0.00237;0.00174;0.00158;0.00154;0.0017649;0.00174;0.00063;0.0008;0.00186;0.001325;0.000245;0.000486;0.000179;0.000199;0.000405;0.000365;0.00028;0.000484;0.0003303;0.001255;0.0011278;0.001579;0.001292;0.000326;0.00232;0;0.001403072;0.001365432;0.001341343;0.001304189;0.000594;0.00675;0.00019;0.000331;0.002826;0.001925;0.001579;0.001437;0.001267;0.001351;0.000301;0.000521;0.00108;0.00141;0;0.155379363;0.217;0.1015;0.106;0;0;0;0.026;0.00005;0;0;0.106;0.000569;0.00038;0.00441;0.1174;0.00121;0.0063;0.0003;0.00016;0;0;0;0.0018;0.0012;0.00043;0.00028;0;5.913;4.25;0;5.89;1.3;1
